Sıra No,Başvuru No,Çevre Kimlik No,İşletme Adı,İşletme Adres,Tesisi İli,Lisans Konuları,İzin Konuları,Belge Türü,Onay Tarihi,SertifikaId
1,544490,223543380,KARDEŞLER KUYUMCULUK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"İKİTELLİ OSB Mahallesi, ÇEVRE SAN. SİTESİ 3. BLOK SOKAK, No: 27 BAŞAKŞEHİR, İSTANBULTürkiye",İSTANBUL,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,09.05.2022,2765
2,544490,223543380,KARDEŞLER KUYUMCULUK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"İKİTELLİ OSB Mahallesi, ÇEVRE SAN. SİTESİ 3. BLOK SOKAK, No: 27 BAŞAKŞEHİR, İSTANBULTürkiye",İSTANBUL, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,09.05.2022,2765
3,547155,305195148,RAMSED ENDÜSTRİYEL ATIK GERİ DÖNÜŞÜM ANONİM ŞİRKETİ,"HASANOĞLAN BAHÇELİEVLER Mahallesi, ODUNCU YOLU SOKAK, No: 42 ---, ELMADAĞ, ANKARA, Türkiye",ANKARA,Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,05.04.2022,2765
4,536270,227178298,ÇAĞLAR KUYUMCULUK SAN.VE TİC.LTD.ŞTİ,"İKİTELLİ OSB Mahallesi, PİK DÖKÜMCÜLER B6 BLOK SOKAK, No:10-10, BAŞAKŞEHİR / İSTANBUL",İSTANBUL,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,30.03.2022,2765
5,536270,227178298,ÇAĞLAR KUYUMCULUK SAN.VE TİC.LTD.ŞTİ,"İKİTELLİ OSB Mahallesi, PİK DÖKÜMCÜLER B6 BLOK SOKAK, No:10-10, BAŞAKŞEHİR / İSTANBUL",İSTANBUL, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,30.03.2022,2765
6,526770,223409640,CANLAR KUYUMCULUK SAN VE TİC.LTD.ŞTİ,"İKİTELLİ OSB Mahallesi, ÇEVRE 2. BLOK SOKAK, Çevre San. Sit. 2. Blok No: 20, BAŞAKŞEHİR / İSTANBUL",İSTANBUL,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,09.05.2022,2765
7,526770,223409640,CANLAR KUYUMCULUK SAN VE TİC.LTD.ŞTİ,"İKİTELLİ OSB Mahallesi, ÇEVRE 2. BLOK SOKAK, Çevre San. Sit. 2. Blok No: 20, BAŞAKŞEHİR / İSTANBUL",İSTANBUL, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,09.05.2022,2765
8,539041,231755520,ATIKSA ENTEGRE ATIK YÖNETİMİ TİCARET LİMİTED ŞİRKETİ,"Kayapa Mah., Kayapa Sanayi Bulvarı, No: 20-, Nilüfer BURSA",BURSA,Atık Elektrikli ve Elektronik Eşya İşleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,04.03.2022,2765
9,539041,231755520,ATIKSA ENTEGRE ATIK YÖNETİMİ TİCARET LİMİTED ŞİRKETİ,"Kayapa Mah., Kayapa Sanayi Bulvarı, No: 20-, Nilüfer BURSA",BURSA, Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,04.03.2022,2765
10,535679,290008706,NİĞSA METAL GERİ DÖNÜŞÜM SANAYİ TİCARET LİMİTED ŞİRKETİ,"SAMURLU Mahallesi, 1247 SOKAK, No: 14 A-14 B, ALİAĞA, İZMİR, Türkiye",İZMİR,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,15.02.2022,2765
11,535679,290008706,NİĞSA METAL GERİ DÖNÜŞÜM SANAYİ TİCARET LİMİTED ŞİRKETİ,"SAMURLU Mahallesi, 1247 SOKAK, No: 14 A-14 B, ALİAĞA, İZMİR, Türkiye",İZMİR, Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,15.02.2022,2765
12,534537,226682400,CEMİL KILIÇ-ÖZ KARADENİZ RAMATÇILIK,"İKİTELLİ OSB Mahallesi, ÇEVRE 3. BLOK SOKAK, No: 9-9, BAŞAKŞEHİR / İSTANBUL",İSTANBUL,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,11.02.2022,2765
13,534537,226682400,CEMİL KILIÇ-ÖZ KARADENİZ RAMATÇILIK,"İKİTELLİ OSB Mahallesi, ÇEVRE 3. BLOK SOKAK, No: 9-9, BAŞAKŞEHİR / İSTANBUL",İSTANBUL, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,11.02.2022,2765
14,533803,292383850,GÜRSEL HORUZ - KUZEY RAMAT,"İKİTELLİ OSB Mahallesi, ÇEVRE SANAY, SİTESİ 3. BLOK SOKAK, No: 17 -17, BAŞAKŞEHİR / İSTANBUL",İSTANBUL,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,07.01.2022,2765
15,533803,292383850,GÜRSEL HORUZ - KUZEY RAMAT,"İKİTELLİ OSB Mahallesi, ÇEVRE SANAY, SİTESİ 3. BLOK SOKAK, No: 17 -17, BAŞAKŞEHİR / İSTANBUL",İSTANBUL, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,07.01.2022,2765
16,531818,227240872,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"Organize Sanayi Bölgesi Mahallesi, 2-A Nolu Yol Caddesi, No:7-, Bor / NİĞDE",NİĞDE,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,27.12.2021,2765
17,531818,227240872,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"Organize Sanayi Bölgesi Mahallesi, 2-A Nolu Yol Caddesi, No:7-, Bor / NİĞDE",NİĞDE, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,27.12.2021,2765
18,531818,227240872,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"Organize Sanayi Bölgesi Mahallesi, 2-A Nolu Yol Caddesi, No:7-, Bor / NİĞDE",NİĞDE, Ömrünü Tamamlamış Araç Geçici Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,27.12.2021,2765
19,531818,227240872,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"Organize Sanayi Bölgesi Mahallesi, 2-A Nolu Yol Caddesi, No:7-, Bor / NİĞDE",NİĞDE, Tanker Temizleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,27.12.2021,2765
20,531818,227240872,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"Organize Sanayi Bölgesi Mahallesi, 2-A Nolu Yol Caddesi, No:7-, Bor / NİĞDE",NİĞDE, Hurda Metal /ÖTA İşleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,27.12.2021,2765
21,531818,227240872,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"Organize Sanayi Bölgesi Mahallesi, 2-A Nolu Yol Caddesi, No:7-, Bor / NİĞDE",NİĞDE, Atık Elektrikli ve Elektronik Eşya İşleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,27.12.2021,2765
22,531818,227240872,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"Organize Sanayi Bölgesi Mahallesi, 2-A Nolu Yol Caddesi, No:7-, Bor / NİĞDE",NİĞDE, PCB Arındırma,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,27.12.2021,2765
23,531818,227240872,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"Organize Sanayi Bölgesi Mahallesi, 2-A Nolu Yol Caddesi, No:7-, Bor / NİĞDE",NİĞDE, Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,27.12.2021,2765
24,531818,227240872,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"Organize Sanayi Bölgesi Mahallesi, 2-A Nolu Yol Caddesi, No:7-, Bor / NİĞDE",NİĞDE, Ambalaj Atığı Toplama ve Ayırma Tip ,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,27.12.2021,2765
25,556557,288645542,YILMAZLAR HURDACILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,"Cumhuriyet Mah. Ozan Cad. No:10, SİNCAN, ANKARA",ANKARA,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,05.04.2022,2765
26,556557,288645542,YILMAZLAR HURDACILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,"Cumhuriyet Mah. Ozan Cad. No:10, SİNCAN, ANKARA",ANKARA, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,05.04.2022,2765
27,556557,288645542,YILMAZLAR HURDACILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,"Cumhuriyet Mah. Ozan Cad. No:10, SİNCAN, ANKARA",ANKARA, Ambalaj Atığı Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,05.04.2022,2765
28,556557,288645542,YILMAZLAR HURDACILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,"Cumhuriyet Mah. Ozan Cad. No:10, SİNCAN, ANKARA",ANKARA, Ömrünü Tamamlamış Araç Geçici Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,05.04.2022,2765
29,556557,288645542,YILMAZLAR HURDACILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,"Cumhuriyet Mah. Ozan Cad. No:10, SİNCAN, ANKARA",ANKARA, Tanker Temizleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,05.04.2022,2765
30,556557,288645542,YILMAZLAR HURDACILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,"Cumhuriyet Mah. Ozan Cad. No:10, SİNCAN, ANKARA",ANKARA, Atık Elektrikli ve Elektronik Eşya İşleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,05.04.2022,2765
31,556557,288645542,YILMAZLAR HURDACILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,"Cumhuriyet Mah. Ozan Cad. No:10, SİNCAN, ANKARA",ANKARA, PCB Arındırma,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,05.04.2022,2765
32,556557,288645542,YILMAZLAR HURDACILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,"Cumhuriyet Mah. Ozan Cad. No:10, SİNCAN, ANKARA",ANKARA, Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,05.04.2022,2765
33,531930,229611292,BEYSU ATIK YÖNETİMİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"PINARKENT Mahallesi, 200 SOKAK, No: 15-, PAMUKKALE / DENİZLİ",DENİZLİ,Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,22.12.2021,2765
34,531930,229611292,BEYSU ATIK YÖNETİMİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"PINARKENT Mahallesi, 200 SOKAK, No: 15-, PAMUKKALE / DENİZLİ",DENİZLİ, Atıktan Türetilmiş Yakıt (ATY) Hazırlama Tesisi,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,22.12.2021,2765
35,555425,231171050,BURSA ENTEGRE ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,"KAYAPA Mahallesi, SARI (530) CADDE, No: 17-1, NİLÜFER/BURSA",BURSA,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,08.06.2022,2765
36,555425,231171050,BURSA ENTEGRE ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,"KAYAPA Mahallesi, SARI (530) CADDE, No: 17-1, NİLÜFER/BURSA",BURSA, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,08.06.2022,2765
37,555425,231171050,BURSA ENTEGRE ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,"KAYAPA Mahallesi, SARI (530) CADDE, No: 17-1, NİLÜFER/BURSA",BURSA, Tanker Temizleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,08.06.2022,2765
38,555425,231171050,BURSA ENTEGRE ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,"KAYAPA Mahallesi, SARI (530) CADDE, No: 17-1, NİLÜFER/BURSA",BURSA, Atık Elektrikli ve Elektronik Eşya İşleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,08.06.2022,2765
39,555425,231171050,BURSA ENTEGRE ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,"KAYAPA Mahallesi, SARI (530) CADDE, No: 17-1, NİLÜFER/BURSA",BURSA, Atıktan Türetilmiş Yakıt (ATY) Hazırlama Tesisi,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,08.06.2022,2765
40,524061,230900206,YA-SE ÖZEL SAĞLIK PERSONEL HİZMETLERİ NAKLİYE TURİZM ENDÜSTRİYEL ATIK SANAYİ TİCARET LİMİTED ŞİRKETİ,"TURANKÖY Mahallesi, TERKEŞLİ CADDE, No: 6-, KESTEL / BURSA",BURSA,Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,04.10.2021,2765
41,520979,227651272,İSTANBUL RAMAT - YUSUF GÖK,"İKİTELLİ OSB Mahallesi, ÇEVRE SANAYİ SİTESİ SOKAK, No: 13-, BAŞAKŞEHİR / İSTANBUL",İSTANBUL,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,24.09.2021,2765
42,520979,227651272,İSTANBUL RAMAT - YUSUF GÖK,"İKİTELLİ OSB Mahallesi, ÇEVRE SANAYİ SİTESİ SOKAK, No: 13-, BAŞAKŞEHİR / İSTANBUL",İSTANBUL, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,24.09.2021,2765
43,528570,257602844,İBRAHİM KARABAY - ÇAĞ RAMAT,"İKİTELLİ OSB Mahallesi, CİLA VE NİKELAJCILAR A BLOK SOKAK, No:6-1/2, BAŞAKŞEHİR / İSTANBUL",İSTANBUL,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,15.09.2021,2765
44,528570,257602844,İBRAHİM KARABAY - ÇAĞ RAMAT,"İKİTELLİ OSB Mahallesi, CİLA VE NİKELAJCILAR A BLOK SOKAK, No:6-1/2, BAŞAKŞEHİR / İSTANBUL",İSTANBUL, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,15.09.2021,2765
45,543368,264902676,AYVAZ KUYUMCULUK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"İkitelli OSB Mahallesi, Cila ve Nikelajcılar San. Sitesi C Blok, No: 9/1/2, Başakşehir / İSTANBUL",İSTANBUL,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,03.02.2022,2765
46,543368,264902676,AYVAZ KUYUMCULUK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"İkitelli OSB Mahallesi, Cila ve Nikelajcılar San. Sitesi C Blok, No: 9/1/2, Başakşehir / İSTANBUL",İSTANBUL, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,03.02.2022,2765
47,519519,290260050,MGD MARMARA GERİ DÖNÜŞÜM ENDÜSTRİ SANAYİ VE TİC.LTD.ŞTİ. - TURGUTLU ŞUBESİ,"SELVİLİTEPE Mahallesi, URAN YOLU SOKAK, No:13/A, TURGUTLU / MANİSA",MANİSA,Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,08.09.2021,2765
48,519723,223263446,DEKOR KUYUMCULUK SAN. TİC. LTD. ŞTİ. İKİTELLİ ŞUBESİ,"İkitelli OSB Mahallesi, Çevre 4.Blok Sokak No:7, Başakşehir / İSTANBUL",İSTANBUL,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,02.09.2021,2765
49,519723,223263446,DEKOR KUYUMCULUK SAN. TİC. LTD. ŞTİ. İKİTELLİ ŞUBESİ,"İkitelli OSB Mahallesi, Çevre 4.Blok Sokak No:7, Başakşehir / İSTANBUL",İSTANBUL, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,02.09.2021,2765
50,518895,249958568,ZİRVE ALTIN SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"İKİTELLİ OSB Mahallesi, PİK DÖKÜMCÜLER B4 BLOK SOKAK, No:2-2, BAŞAKŞEHİR / İSTANBUL",İSTANBUL,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,24.08.2021,2765
51,518895,249958568,ZİRVE ALTIN SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"İKİTELLİ OSB Mahallesi, PİK DÖKÜMCÜLER B4 BLOK SOKAK, No:2-2, BAŞAKŞEHİR / İSTANBUL",İSTANBUL, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,24.08.2021,2765
52,507502,277891598,ÜÇ-LER GERİ DÖN. GEMİ SÖK. DEM. ÇEL. NAK. İNŞ. HAF. SAN. TİC. LTD.ŞTİ.- MANİSA ARA Depolama ŞUBESİ,"MURADİYE Mahallesi, 31 SOKAK, No: 21-, YUNUSEMRE / MANİSA",MANİSA,Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,06.08.2021,2765
53,516823,223499650,ITC INVEST TRADING & CONSULTING AG -TÜRKİYE ANKARA - SİNCAN ŞUBESİ,"Gökler Mahallesi, Gökler Küme Evler, No:237-, Ayaş - Sincan / ANKARA",ANKARA,Atık Yakma ve Beraber Yakma,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,30.07.2021,2765
54,516823,223499650,ITC INVEST TRADING & CONSULTING AG -TÜRKİYE ANKARA - SİNCAN ŞUBESİ,"Gökler Mahallesi, Gökler Küme Evler, No:237-, Ayaş - Sincan / ANKARA",ANKARA, Düzenli Depolama - 1. Sınıf (Tehlikeli Atık Düzenli Depolama),"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,30.07.2021,2765
55,516823,223499650,ITC INVEST TRADING & CONSULTING AG -TÜRKİYE ANKARA - SİNCAN ŞUBESİ,"Gökler Mahallesi, Gökler Küme Evler, No:237-, Ayaş - Sincan / ANKARA",ANKARA, Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,30.07.2021,2765
56,514585,226633158,GÜLÇAY RAMAT KEREM GÜLÇAY,"İkitelli OSB Mahallesi Çevre Sanayi Sitesi 3. Blok Sokak No: 25, Başakşehir / İSTANBUL",İSTANBUL,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,30.07.2021,2765
57,514585,226633158,GÜLÇAY RAMAT KEREM GÜLÇAY,"İkitelli OSB Mahallesi Çevre Sanayi Sitesi 3. Blok Sokak No: 25, Başakşehir / İSTANBUL",İSTANBUL, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,30.07.2021,2765
58,558556,287108556,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,Sağlık Mah. 282 Sokak No:9 A-1 Merkez/KIRIKKALE,KIRIKKALE,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,29.04.2022,2765
59,558556,287108556,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,Sağlık Mah. 282 Sokak No:9 A-1 Merkez/KIRIKKALE,KIRIKKALE, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,29.04.2022,2765
